source_acronym,source_structure_id,n_units_sampled,matched_injection_acronym,matched_injection_structure_id,n_injection_experiments,target_structure_id,target_acronym,n_experiments,mean_projection_density,median_projection_density,mean_projection_energy,median_projection_energy,mean_normalized_projection_volume,median_normalized_projection_volume
CA1,382,107,CA1,382,6,502,SUB,6,0.04386351126934316,0.0123362576334434,128.4175783397246,9.01068091392515,0.6802296953022203,0.47093829994709846
CA1,382,107,CA1,382,6,382,CA1,6,0.031395705419805936,0.01047102781012655,85.41959983250413,15.9984660148621,2.594150570122768,1.9020838636342399
CA1,382,107,CA1,382,6,484682470,ProS,6,0.029591497541987383,0.01348061240827755,98.49439671581796,16.2583990663827,0.33047538914517877,0.145883614317044
CA1,382,107,CA1,382,6,333,SH,6,0.02818542345596557,0.00084303840412755,52.738428838817114,0.308745041489601,0.004437349971612922,0.00033535307995274997
CA1,382,107,CA1,382,6,443,dhc,6,0.02777500733244742,0.00126494214055125,42.37157908976783,0.6971617341041559,0.15113081577517634,0.0134349083303991
CA1,382,107,CA1,382,6,618,hc,6,0.02709316645304138,0.00171474129447055,40.05888878375767,0.8768302949221894,0.1574920498017377,0.0148097159563437
CA1,382,107,CA1,382,6,510,SSp-ll6b,6,0.024486055423051156,0.0,46.82167447017621,0.0,0.005110591210241055,0.0
CA1,382,107,CA1,382,6,375,CA,6,0.024447117442158956,0.01154687106857145,59.00003174774143,10.77256329245462,3.247774486754758,2.59531315216066
CA1,382,107,CA1,382,6,423,CA2,6,0.024047868968680098,0.013685353100299849,54.51624008272769,16.845912933349624,0.08673796536244927,0.06736589494996856
CA1,382,107,CA1,382,6,461,SSp-tr6b,6,0.022798744603854445,0.0,23.796282993829653,0.0,0.003824036206733893,0.0
CA1,382,107,CA1,382,6,310,SF,6,0.02206126675677375,0.0143027079017932,39.57700128573683,7.077450549379085,0.0700585717195122,0.05370675276214025
CA1,382,107,CA1,382,6,9,SSp-tr6a,6,0.021998206025045666,0.0,26.7742437429214,0.0,0.026420345790684644,0.0
CA1,382,107,CA1,382,6,606826659,MMd,6,0.019515642875416947,3.9453302633774e-06,19.23729623611445,0.0033553423127159,0.0060425655083611715,4.39899324871318e-06
CA1,382,107,CA1,382,6,478,SSp-ll6a,6,0.01933398239111369,0.0,42.72031417419394,0.0,0.04928559780724292,0.0
CA1,382,107,CA1,382,6,1006,SSp-tr1,6,0.01932417988085831,0.00010310334873578285,28.872245926205885,0.019578423470090298,0.020910031151767136,0.00047174617016845
CA1,382,107,CA1,382,6,581,TRS,6,0.018875293112806647,0.01684820812603985,32.79581388626255,9.10273128462574,0.04701751839953693,0.03598166787582475
CA1,382,107,CA1,382,6,466,alv,6,0.01875036143938163,0.0088529612616831,48.11195374570171,5.37543630599976,0.19244831353325137,0.1717123771147725
