unit_id,waveform_PT_ratio,waveform_amplitude,amplitude_cutoff,cumulative_drift,d_prime,waveform_duration,ecephys_channel_id,firing_rate,waveform_halfwidth,isi_violations,isolation_distance,L_ratio,max_drift,nn_hit_rate,nn_miss_rate,presence_ratio,waveform_recovery_slope,waveform_repolarization_slope,silhouette_score,snr,waveform_spread,waveform_velocity_above,waveform_velocity_below,ecephys_probe_id,local_index,probe_horizontal_position,probe_vertical_position,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,left_right_ccf_coordinate,ecephys_structure_id,ecephys_structure_acronym,ecephys_session_id,lfp_sampling_rate,name,phase,sampling_rate,has_lfp_data,date_of_acquisition,published_at,specimen_id,session_type,age_in_days,sex,genotype,channel__ecephys_probe_id,channel__local_index,channel__probe_horizontal_position,channel__probe_vertical_position,channel__anterior_posterior_ccf_coordinate,channel__dorsal_ventral_ccf_coordinate,channel__left_right_ccf_coordinate,channel__ecephys_structure_id,channel__ecephys_structure_acronym,channel__ecephys_session_id,channel__lfp_sampling_rate,channel__phase,channel__sampling_rate,channel__has_lfp_data,channel__unit_count
951084160,0.511670583940423,117.207675,0.0517614081175209,88.53,6.01023416988356,0.233500837520938,849777148,34.2928777707088,0.1785594639866,0.0045369276530545,114.964477041365,0.0017641368579775,12.94,0.996,0.0163873370577281,0.99,-0.134293213513284,0.529501079974472,0.158649882015145,2.74445719660613,50.0,0.0,0.0,832810573,15,27,160,8291.0,2876.0,7069.0,313.0,MB,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,15,27,160,8291.0,2876.0,7069.0,313.0,MB,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084185,0.518932410656136,121.890405,0.0660259173461347,98.64,6.71812991568571,0.343383584589615,849777160,14.8315839720157,0.192294807370184,0.009528604493256,128.829182133618,0.000219849098752,10.75,0.998,0.0032154340836012,0.99,-0.0962246831045599,0.50272924553398,0.153022510891611,2.99084974410515,60.0,0.0686767169179227,0.343383584589614,832810573,21,11,220,8274.0,2830.0,7078.0,1061.0,PPT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,21,11,220,8274.0,2830.0,7078.0,1061.0,PPT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084256,0.585321478594389,139.727835,5.16655778518505e-05,123.77,9.01535294203642,0.398324958123953,849777180,3.94033217475748,0.274706867671692,0.0,130.783314941753,2.1375161165261e-06,19.29,1.0,0.0,0.99,-0.108417471906324,0.527717031709878,0.233822579660471,3.33720732084092,50.0,0.96147403685092,2.74706867671692,832810573,31,27,320,8245.0,2755.0,7091.0,1061.0,PPT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,31,27,320,8245.0,2755.0,7091.0,1061.0,PPT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084266,0.766595039055178,155.557155,0.0019261359827013,84.14,8.34423878803218,0.343383584589615,849777186,14.8380913716798,0.15108877721943,0.0038080994353049,159.41597171722,1.3409973322034e-05,6.29,1.0,0.0004020908725371,0.99,-0.14117659752708,0.629699666549042,0.221461820572243,3.70916546585015,60.0,0.343383584589614,-0.686767169179229,832810573,34,59,360,8237.0,2734.0,7095.0,1061.0,PPT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,34,59,360,8237.0,2734.0,7095.0,1061.0,PPT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084329,0.478359726351641,134.28324,0.0391236647744604,125.99,5.68738071829467,0.370854271356784,849777212,2.56818594870138,0.1785594639866,0.202235221347523,88.4617147420087,0.0008556445295178,15.34,0.952153110047847,0.0007149422939434,0.99,-0.0731617374391576,0.543121714750798,0.135823363639767,2.99774131646937,50.0,0.68676716917923,-0.343383584589615,832810573,47,27,480,8197.0,2637.0,7109.0,628.0,NOT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,47,27,480,8197.0,2637.0,7109.0,628.0,NOT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084348,0.68547940914515,123.146985,0.0412566833853121,99.27,4.94498874019261,0.370854271356784,849777216,26.6812537260582,0.164824120603015,0.021360042448545,101.727726043765,0.0029061888944402,6.91,0.986666666666667,0.0058029689608637,0.99,-0.0988280062235307,0.460073317556901,0.137272841948474,2.83622343139353,70.0,0.68676716917923,-0.0185612748426818,832810573,49,11,500,8191.0,2624.0,7110.0,628.0,NOT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,49,11,500,8191.0,2624.0,7110.0,628.0,NOT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084373,0.440616703218271,154.034595,0.0006946716205305,46.62,6.46912747500627,0.439530988274707,849777220,33.1413730645151,0.219765494137353,0.0057598181811259,107.564738635878,0.0002403563300408,10.05,0.997333333333333,0.0004151100041511,0.99,-0.122077247413449,0.516003251514987,0.202972949416992,3.18014268258244,60.0,0.755443886097153,0.0,832810573,51,27,520,8185.0,2610.0,7112.0,628.0,NOT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,51,27,520,8185.0,2610.0,7112.0,628.0,NOT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084383,0.404778626624394,117.4368,0.0612535867689058,212.87,5.20779570529136,0.398324958123953,849777222,2.8060110708018,0.192294807370184,0.024200978473243,58.3095747115304,0.0012560046703322,16.86,0.936936936936937,0.000505612296491,0.99,-0.0868742688325199,0.454723903784761,0.0591403726700838,2.36825168857591,60.0,0.0,0.686767169179229,832810573,52,43,540,8182.0,2604.0,7113.0,628.0,NOT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,52,43,540,8182.0,2604.0,7113.0,628.0,NOT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084417,0.41724292743693,135.23874,0.0016997902781228,171.45,5.80123514978033,0.233500837520938,849777224,10.2751840696796,0.15108877721943,0.0075802190334713,77.087067865805,0.0005520568956284,26.75,0.991100323624595,0.0002085940759282,0.99,-0.0878438010811992,0.592793995832129,0.0949115683041292,2.66942537121947,90.0,0.313950705910505,-0.618090452261307,832810573,53,11,540,8180.0,2597.0,7113.0,628.0,NOT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,53,11,540,8180.0,2597.0,7113.0,628.0,NOT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084437,0.660735292168157,157.59705,0.0529470034802968,143.78,5.79207579127567,0.233500837520938,849777226,30.9264169038329,0.15108877721943,0.0114755882433732,97.6824813720062,0.0001949694552096,14.32,0.998,0.0030161776802851,0.99,-0.180215132852105,0.719800549787445,0.105295059806699,3.18459629395869,120.0,0.72764616734466,0.480737018425461,832810573,54,59,560,8177.0,2591.0,7114.0,628.0,NOT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,54,59,560,8177.0,2591.0,7114.0,628.0,NOT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084469,0.50353926150045,283.967775,0.0007400199544352,61.88,6.85887911920997,0.343383584589615,849777232,18.8150276695481,0.137353433835846,0.0032296332929429,106.804679757678,0.0002419687473043,21.34,0.991333333333333,0.0003648747263439,0.99,-0.185189897438894,1.15374304713537,0.179683108717579,4.859288076925,40.0,0.0,-0.68676716917923,832810573,57,11,580,8168.0,2571.0,7116.0,628.0,NOT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,57,11,580,8168.0,2571.0,7116.0,628.0,NOT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084484,0.650331157108845,127.47033,0.0116888930364953,145.77,4.75687367645556,0.206030150753769,849777238,41.9698808463601,0.123618090452261,0.0037862061583613,97.2883716357956,0.0004688129477159,19.04,0.995333333333333,0.0006773101112723,0.99,-0.0974189373145679,0.446081905360496,0.116171877591177,2.30706402933329,80.0,1.30485762144054,0.137353433835845,832810573,60,43,620,8157.0,2545.0,7118.0,628.0,NOT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,60,43,620,8157.0,2545.0,7118.0,628.0,NOT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084501,0.584347439043249,244.56081,0.0001647240874485,65.78,6.74003293204135,0.219765494137353,849777240,74.565140729686,0.123618090452261,0.0005689159241621,148.406213999583,2.87186793945779e-05,18.08,0.998,0.0005437737901033,0.99,-0.273325581804026,1.09680117235388,0.175805545612868,4.21807458729566,50.0,-2.06030150753769,-0.961474036850921,832810573,61,11,620,8154.0,2539.0,7118.0,628.0,NOT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,61,11,620,8154.0,2539.0,7118.0,628.0,NOT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084510,0.223497330780348,178.150635,0.0308680502183595,79.79,4.42986871995503,0.233500837520938,849777242,35.5357911065599,0.0961474036850922,0.0047683626447048,81.6170578811483,0.0007079429156136,13.61,0.996666666666667,0.0006631299734748,0.99,-0.0776008665955332,0.726453225538918,0.154082292351987,3.01507065250415,50.0,0.343383584589615,-1.03015075376885,832810573,62,59,640,8151.0,2532.0,7118.0,628.0,NOT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,62,59,640,8151.0,2532.0,7118.0,628.0,NOT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084519,0.380334938309077,131.973855,0.0594566782794235,209.97,5.37780856464251,0.425795644891122,849777244,4.34724801000583,0.192294807370184,0.0060497036566327,61.2715132067393,0.0013316758860551,23.17,0.864406779661017,0.0003710449976388,0.99,-0.0894768953775798,0.568316772939248,0.108191136835551,2.42642968162265,60.0,0.0,-0.892797319932998,832810573,63,27,640,8148.0,2526.0,7119.0,628.0,NOT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,63,27,640,8148.0,2526.0,7119.0,628.0,NOT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084572,0.727341228229787,116.6607,0.067594053809988,129.46,3.55708664467415,0.260971524288107,849777252,39.6361646418074,0.15108877721943,0.0120078667790909,72.5335375297127,0.0056218181692112,25.34,0.982666666666667,0.0116896918172157,0.99,-0.0979917137624194,0.536209002260166,0.0980783950446812,2.05272917439083,70.0,0.0,-0.824120603015075,832810573,67,27,680,8137.0,2500.0,7120.0,628.0,NOT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,67,27,680,8137.0,2500.0,7120.0,628.0,NOT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084585,0.551566195893917,158.883075,5.05147921251481e-06,123.56,6.94469464111981,0.302177554438861,849777254,10.5287693003416,0.137353433835846,0.0,91.9228507334703,2.20051953349722e-05,27.86,0.998,3.92387679026879e-05,0.99,-0.155163083766552,0.674041055800137,0.176247697991987,3.01209471888413,70.0,2.4036850921273,-0.206030150753769,832810573,68,43,700,8134.0,2494.0,7120.0,628.0,NOT,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,68,43,700,8134.0,2494.0,7120.0,628.0,NOT,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084650,0.439649521551764,80.6069550000001,0.0011506666157327,79.21,12.6297356467659,0.370854271356784,849777348,13.467877029899,0.123618090452261,0.0025213006900067,525.558550897387,0.0,23.46,1.0,0.0,0.99,-0.0551034181325894,0.336916111497108,0.185909204629232,2.73590376494296,30.0,0.0,,832810573,115,27,1160,8016.0,2154.0,7139.0,484682470.0,ProS,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,115,27,1160,8016.0,2154.0,7139.0,484682470.0,ProS,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084661,1.12305832539092,94.609515,0.0001883188836199,78.89,12.5573394715196,0.315912897822446,849777350,5.55071023539301,0.15108877721943,0.0,212.331543279557,3.1802532103555e-14,25.14,1.0,0.0,0.98,-0.108778509589286,0.399341941516334,0.300252873445684,2.98811544370002,30.0,-3.43383584589615,,832810573,116,43,1180,8014.0,2146.0,7140.0,484682470.0,ProS,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,116,43,1180,8014.0,2146.0,7140.0,484682470.0,ProS,831882777,1249.99867930076,3a,29999.9683032182,True,1
951084687,0.397679631327631,142.32309,0.0147093943392404,102.71,10.193955750304,0.453266331658292,849777416,2.00926132442346,0.164824120603015,0.0,179.400449768164,1.1604266238850601e-10,16.14,0.999333333333333,0.0,0.99,-0.0558076207943449,0.501204651147474,0.284281602778033,3.74474440502532,20.0,,-1.37353433835846,832810573,149,11,1500,7943.0,1840.0,7219.0,382.0,CA1,831882777,1249.99867930076,probeA,3a,29999.9683032182,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810573,149,11,1500,7943.0,1840.0,7219.0,382.0,CA1,831882777,1249.99867930076,3a,29999.9683032182,True,1
