source_acronym,source_structure_id,n_units,channel__anterior_posterior_ccf_coordinate__mean,channel__anterior_posterior_ccf_coordinate__min,channel__anterior_posterior_ccf_coordinate__max,channel__dorsal_ventral_ccf_coordinate__mean,channel__dorsal_ventral_ccf_coordinate__min,channel__dorsal_ventral_ccf_coordinate__max,channel__left_right_ccf_coordinate__mean,channel__left_right_ccf_coordinate__min,channel__left_right_ccf_coordinate__max
CA1,382,107,7855.607476635514,7562.0,8267.0,1606.5981308411215,1249.0,2432.0,7695.1682242990655,7219.0,9268.0
VISrl,417,92,7413.195652173913,7336.0,7546.0,1205.4891304347825,967.0,1546.0,8571.510869565218,8306.0,8762.0
VISl,409,73,,,,,,,,,
VISpm,533,72,7852.652777777777,7785.0,7925.0,767.6527777777778,450.0,1097.0,7344.111111111111,7331.0,7350.0
VISp,385,65,8969.876923076923,8867.0,9048.0,1028.246153846154,728.0,1427.0,7979.846153846154,7804.0,8103.0
VISam,394,63,7602.650793650793,7499.0,7722.0,841.7301587301587,526.0,1136.0,7466.444444444444,7415.0,7512.0
VISal,402,46,8326.630434782608,8284.0,8363.0,2032.195652173913,1890.0,2216.0,9591.282608695652,9358.0,9783.0
NOT,628,27,8207.444444444445,8134.0,8268.0,2654.703703703704,2494.0,2813.0,7221.777777777777,7106.0,7338.0
DG,726,19,7846.8421052631575,7823.0,7868.0,2243.0,2167.0,2315.0,7855.9473684210525,7797.0,7918.0
APN,215,8,8290.25,8259.0,8316.0,2902.75,2792.0,3004.0,7308.125,7085.0,7344.0
PPT,1061,3,8252.0,8237.0,8274.0,2773.0,2734.0,2830.0,7088.0,7078.0,7095.0
