original_index,image_name,image_path,copied_path,human_label,vit_label,human_decoder_pred,vit_decoder_pred,human_logit,vit_logit,human_decoder_correct_under_human_label,vit_decoder_correct_under_human_label,human_decoder_correct_under_vit_label,vit_decoder_correct_under_vit_label
0,scene_000.png,/home/maria/Science/data/images/scene_000.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_000.png,1,1,0,0,-2.554781426801053,-2.4060774486043788,0,0,0,0
1,scene_001.png,/home/maria/Science/data/images/scene_001.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_001.png,1,1,0,0,-1.1640976331405588,-0.847113141984854,0,0,0,0
4,scene_004.png,/home/maria/Science/data/images/scene_004.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_004.png,1,1,0,0,-5.751933887207479,-5.2390121414090975,0,0,0,0
11,scene_011.png,/home/maria/Science/data/images/scene_011.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_011.png,1,1,0,0,-1.388073989226374,-0.3068221412627311,0,0,0,0
21,scene_021.png,/home/maria/Science/data/images/scene_021.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_021.png,1,1,0,0,-1.1780666531797996,-1.5388245494616577,0,0,0,0
34,scene_034.png,/home/maria/Science/data/images/scene_034.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_034.png,1,1,0,0,-6.205131421353459,-8.960586756386894,0,0,0,0
35,scene_035.png,/home/maria/Science/data/images/scene_035.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_035.png,1,1,0,0,-2.1492695257514822,-2.3574523885329914,0,0,0,0
36,scene_036.png,/home/maria/Science/data/images/scene_036.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_036.png,1,1,0,0,-3.0539746738673297,-5.030252189368235,0,0,0,0
40,scene_040.png,/home/maria/Science/data/images/scene_040.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_040.png,1,1,0,0,-1.9337498940075388,-1.8700871611981378,0,0,0,0
43,scene_043.png,/home/maria/Science/data/images/scene_043.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_043.png,0,0,1,1,4.252972329220885,1.6462799954214449,0,0,0,0
44,scene_044.png,/home/maria/Science/data/images/scene_044.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_044.png,1,1,0,0,-4.815520376173993,-6.072152367168765,0,0,0,0
46,scene_046.png,/home/maria/Science/data/images/scene_046.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_046.png,1,1,0,0,-4.934746465197138,-4.852928840090966,0,0,0,0
47,scene_047.png,/home/maria/Science/data/images/scene_047.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_047.png,1,1,0,0,-4.2360976450312835,-1.532200366234762,0,0,0,0
51,scene_051.png,/home/maria/Science/data/images/scene_051.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_051.png,1,1,0,0,-4.301651929626073,-1.5373986426636024,0,0,0,0
58,scene_058.png,/home/maria/Science/data/images/scene_058.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_058.png,1,1,0,0,-5.897101644276515,-2.4552640432201565,0,0,0,0
65,scene_065.png,/home/maria/Science/data/images/scene_065.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_065.png,0,0,1,1,4.420187354575912,2.3298427821305183,0,0,0,0
66,scene_066.png,/home/maria/Science/data/images/scene_066.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_066.png,0,0,1,1,3.3432512235330547,4.546377107662477,0,0,0,0
67,scene_067.png,/home/maria/Science/data/images/scene_067.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_067.png,0,0,1,1,3.1068046821900035,5.541338273728529,0,0,0,0
84,scene_084.png,/home/maria/Science/data/images/scene_084.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_084.png,0,0,1,1,3.122324078211908,4.082371926796289,0,0,0,0
85,scene_085.png,/home/maria/Science/data/images/scene_085.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_085.png,0,0,1,1,2.4601808962927167,0.5228036907542704,0,0,0,0
101,scene_101.png,/home/maria/Science/data/images/scene_101.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_101.png,0,0,1,1,3.948521237484436,5.491146982383188,0,0,0,0
104,scene_104.png,/home/maria/Science/data/images/scene_104.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_104.png,0,0,1,1,6.371713306447647,7.954343089847585,0,0,0,0
108,scene_108.png,/home/maria/Science/data/images/scene_108.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_108.png,0,0,1,1,4.314355428025996,5.712932115793576,0,0,0,0
111,scene_111.png,/home/maria/Science/data/images/scene_111.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_111.png,0,0,1,1,11.613717343953708,11.295195463156528,0,0,0,0
117,scene_117.png,/home/maria/Science/data/images/scene_117.png,/home/maria/Science/results/human_vs_vit_adam_angles/consensus_case_images/both_wrong_consensus/scene_117.png,0,0,1,1,1.7607315533932513,5.7314471807190825,0,0,0,0
