clean_feature_index,original_neuron_index,raw_mu_inanimate,raw_mu_animate,raw_contrast,normalized_contrast,abs_normalized_contrast,signed_log_abs_normalized_contrast
1762,1762,0.19927275,0.42507935,0.2258066,0.016206905,0.016206905,1.5495516
15339,15339,0.12145452,0.33015877,0.20870425,0.015671056,0.015671056,1.5353684
26108,26108,0.11781815,0.27079368,0.15297553,0.011040794,0.011040794,1.3885474
28698,28698,0.082181804,0.23777781,0.15559602,0.010972867,0.010972867,1.3859771
15863,15863,0.13818179,0.29809517,0.15991338,0.010926348,0.010926348,1.3842081
36589,36589,0.09127269,0.23968261,0.14840993,0.010606715,0.010606715,1.371854
1783,1783,0.20145455,0.35142866,0.14997411,0.0102047175,0.0102047175,1.3558
4269,4269,0.26545456,0.16539681,-0.10005775,-0.0099927895,0.0099927895,-1.3470916
34115,34115,0.22472727,0.11269836,-0.11202891,-0.009958397,0.009958397,-1.3456618
2104,2104,0.21927272,0.36984125,0.15056853,0.009911813,0.009911813,1.3437175
12352,12352,0.105090864,0.23809527,0.1330044,0.009752395,0.009752395,1.3369973
3435,3435,0.12181816,0.25333342,0.13151526,0.009384693,0.009384693,1.3210886
28729,28729,0.10545451,0.23174606,0.12629154,0.009227762,0.009227762,1.3141173
3445,3445,0.120727256,0.24222225,0.12149499,0.008777334,0.008777334,1.2934635
4200,4200,0.07963635,0.20476194,0.12512559,0.008759098,0.008759098,1.2926062
17743,17743,0.13672721,0.26126993,0.12454271,0.008742466,0.008742466,1.2918229
23916,23916,0.08509089,0.20380957,0.11871868,0.008700007,0.008700007,1.2898169
24335,24335,0.053818174,0.16825397,0.1144358,0.008655613,0.008655613,1.2877094
13768,13768,0.10872723,0.22285722,0.11412999,0.008655522,0.008655522,1.287705
23675,23675,0.10763634,0.2260318,0.118395455,0.008582829,0.008582829,1.2842318
15388,15388,0.08254544,0.19492067,0.11237524,0.0082921935,0.0082921935,1.2700611
1735,1735,0.12945451,0.23682544,0.10737093,0.008230738,0.008230738,1.2670046
31835,31835,0.22800002,0.14444439,-0.083555624,-0.008150576,0.008150576,-1.262985
11206,11206,0.16327271,0.28476197,0.12148926,0.008124354,0.008124354,1.261662
24422,24422,0.18436362,0.113015845,-0.07134777,-0.008061838,0.008061838,-1.2584916
15081,15081,0.07563635,0.18476196,0.10912561,0.008059049,0.008059049,1.2583497
12783,12783,0.11781815,0.23269844,0.11488029,0.008027946,0.008027946,1.2567631
18766,18766,0.06545453,0.1736508,0.10819627,0.007990089,0.007990089,1.2548242
33396,33396,0.09309089,0.20539686,0.11230597,0.007987531,0.007987531,1.2546928
1503,1503,0.10399998,0.21746036,0.113460384,0.007961968,0.007961968,1.2533783
26870,26870,0.07599997,0.18476194,0.10876197,0.0079422565,0.0079422565,1.2523619
3630,3630,0.1585454,0.2736508,0.11510539,0.007893818,0.007893818,1.2498541
10577,10577,0.08327271,0.19587307,0.11260036,0.007863883,0.007863883,1.248297
28382,28382,0.089454524,0.19523811,0.10578359,0.00777111,0.00777111,1.2434356
33549,33549,0.19599998,0.1044444,-0.09155558,-0.0075712856,0.0075712856,-1.232776
22897,22897,0.09090906,0.1961905,0.10528145,0.00755015,0.00755015,1.2316332
17797,17797,0.11418179,0.22253968,0.10835789,0.0075088646,0.0075088646,1.2293919
3403,3403,0.17781812,0.28698412,0.109166,0.0073297843,0.0073297843,1.219534
38470,38470,0.07454545,0.17333338,0.098787926,0.0072971797,0.0072971797,1.2177149
33688,33688,0.32436365,0.26603174,-0.058331907,-0.007148683,0.007148683,-1.209332
34139,34139,0.1872727,0.1101587,-0.077114,-0.0070481403,0.0070481403,-1.203563
37387,37387,0.04654543,0.14603174,0.09948631,0.007024992,0.007024992,1.2022238
34725,34725,0.05890908,0.15206349,0.09315441,0.0069729653,0.0069729653,1.1991988
23359,23359,0.09381815,0.19523808,0.10141993,0.0069719898,0.0069719898,1.199142
20669,20669,0.080363624,0.17396827,0.09360465,0.0069533414,0.0069533414,1.1980524
34152,34152,0.12945452,0.22095245,0.09149793,0.0069230776,0.0069230776,1.1962783
23350,23350,0.05927271,0.15746032,0.09818761,0.0069224834,0.0069224834,1.1962434
22577,22577,0.088363625,0.18539687,0.09703324,0.006895518,0.006895518,1.1946565
6688,6688,0.17781815,0.27492058,0.09710243,0.0068388954,0.0068388954,1.1913052
16818,16818,0.100727245,0.19365083,0.09292358,0.006820975,0.006820975,1.1902392
19583,19583,0.06436362,0.15714288,0.09277926,0.0067278794,0.0067278794,1.1846585
28316,28316,0.19236363,0.3047619,0.11239825,0.0067105237,0.0067105237,1.1836101
37388,37388,0.15999995,0.260635,0.10063504,0.0066948254,0.0066948254,1.1826596
12400,12400,0.038545445,0.12666667,0.08812122,0.0066506616,0.0066506616,1.1799746
20654,20654,0.09127268,0.17968258,0.0884099,0.006516479,0.006516479,1.1717132
8014,8014,0.10254542,0.19682547,0.09428006,0.0065065287,0.0065065287,1.1710943
27019,27019,0.13927272,0.071746,-0.06752672,-0.006468482,0.006468482,-1.1687195
20339,20339,0.07563634,0.16190472,0.08626838,0.0064359256,0.0064359256,1.1666771
23917,23917,0.091636345,0.18349206,0.09185572,0.006414608,0.006414608,1.1653346
38834,38834,0.098909065,0.19111118,0.09220211,0.0063999454,0.0063999454,1.1644087
31510,31510,0.14654543,0.07174601,-0.07479942,-0.006379792,0.006379792,-1.1631329
17330,17330,0.12872723,0.06285712,-0.065870106,-0.006372758,0.006372758,-1.1626867
34050,34050,0.10509088,0.19111113,0.08602025,0.006335115,0.006335115,1.1602912
20226,20226,0.093090884,0.18285717,0.08976629,0.006333123,0.006333123,1.1601641
19694,19694,0.09454543,0.17746033,0.0829149,0.006287447,0.006287447,1.1572386
33558,33558,0.15599999,0.09523807,-0.06076192,-0.006238941,0.006238941,-1.1541102
15049,15049,0.10399998,0.1885714,0.08457141,0.006236486,0.006236486,1.1539512
26994,26994,0.099999964,0.18666664,0.08666667,0.0062176473,0.0062176473,1.1527296
12791,12791,0.14945452,0.083492026,-0.06596249,-0.0062064235,0.0062064235,-1.1520002
11743,11743,0.07781816,0.16063492,0.08281676,0.006200343,0.006200343,1.1516045
33878,33878,0.13054542,0.07650792,-0.054037504,-0.0061968556,0.0061968556,-1.1513774
12462,12462,0.15090902,0.24476196,0.09385294,0.0061847754,0.0061847754,1.1505898
14294,14294,0.22363634,0.31587294,0.09223659,0.0061223526,0.0061223526,1.1464972
31765,31765,0.11236362,0.04666665,-0.06569697,-0.0061195176,0.0061195176,-1.1463104
37041,37041,0.24945454,0.20698415,-0.042470396,-0.0061154217,0.0061154217,-1.1460404
32300,32300,0.23490913,0.17079361,-0.064115524,-0.0060930764,0.0060930764,-1.1445644
35963,35963,0.14799997,0.085079335,-0.06292064,-0.006092224,0.006092224,-1.144508
19669,19669,0.07745452,0.16476189,0.087307364,0.006081047,0.006081047,1.1437677
28765,28765,0.24436368,0.18539684,-0.058966845,-0.0060726367,0.0060726367,-1.1432098
4624,4624,0.20472726,0.29523817,0.090510905,0.006071059,0.006071059,1.1431051
27071,27071,0.084727265,0.16031744,0.07559017,0.0060587865,0.0060587865,1.1422896
11276,11276,0.14436361,0.08317459,-0.061189026,-0.0060553923,0.0060553923,-1.1420637
3582,3582,0.14799997,0.07936505,-0.06863492,-0.006012664,0.006012664,-1.1392109
33865,33865,0.055636346,0.13714284,0.08150649,0.005991653,0.005991653,1.137801
35842,35842,0.15854546,0.09333331,-0.06521215,-0.0059421733,0.0059421733,-1.134463
36120,36120,0.1290909,0.057460308,-0.0716306,-0.0059408816,0.0059408816,-1.1343755
12425,12425,0.17890908,0.27682543,0.09791635,0.005937634,0.005937634,1.1341554
33780,33780,0.09018179,0.17111117,0.080929376,0.005915249,0.005915249,1.1326357
1156,1156,0.1261818,0.06857142,-0.057610378,-0.005912259,0.005912259,-1.1324323
5251,5251,0.14727268,0.23682542,0.089552745,0.0059086625,0.0059086625,1.1321875
3746,3746,0.13527273,0.06253967,-0.07273306,-0.0059018545,0.0059018545,-1.1317239
28127,28127,0.07236362,0.15142855,0.07906493,0.005896926,0.005896926,1.1313877
36685,36685,0.07527271,0.16222224,0.08694953,0.005890526,0.005890526,1.130951
30133,30133,0.110181786,0.19619049,0.086008705,0.0058860146,0.0058860146,1.1306429
33928,33928,0.18436365,0.12380948,-0.06055417,-0.0058841063,0.0058841063,-1.1305125
27471,27471,0.15090908,0.24317464,0.09226556,0.005878159,0.005878159,1.1301059
2069,2069,0.15672727,0.09777774,-0.05894953,-0.005863606,0.005863606,-1.1291091
1067,1067,0.25054547,0.2031746,-0.047370866,-0.00585041,0.00585041,-1.1282035
27018,27018,0.08218178,0.16666667,0.08448489,0.0058326195,0.0058326195,1.1269795
17341,17341,0.12799998,0.070158705,-0.05784127,-0.005829218,0.005829218,-1.126745
36761,36761,0.17272723,0.25936508,0.086637855,0.0058281263,0.0058281263,1.1266698
31639,31639,0.13381816,0.07206347,-0.061754696,-0.005799025,0.005799025,-1.1246585
36697,36697,0.0883636,0.17492066,0.08655706,0.0057719657,0.0057719657,1.1227801
38436,38436,0.20327277,0.15428571,-0.04898706,-0.0057672197,0.0057672197,-1.1224498
1377,1377,0.0632727,0.14285713,0.079584435,0.005751098,0.005751098,1.1213259
10634,10634,0.04072726,0.12190472,0.08117746,0.0057235537,0.0057235537,1.1193988
15392,15392,0.1421818,0.083492026,-0.058689773,-0.005702893,0.005702893,-1.1179478
38516,38516,0.097454526,0.17841272,0.080958195,0.0057010595,0.0057010595,1.1178188
28673,28673,0.14545453,0.08222219,-0.06323233,-0.0056932443,0.0056932443,-1.1172686
2219,2219,0.1392727,0.07365078,-0.06562193,-0.0056644995,0.0056644995,-1.1152384
34041,34041,0.08799998,0.1653968,0.07739682,0.005651565,0.005651565,1.1143218
24300,24300,0.17563634,0.118730135,-0.0569062,-0.0056504635,0.0056504635,-1.1142437
26793,26793,0.102181785,0.17873015,0.07654836,0.005623294,0.005623294,1.1123117
38538,38538,0.14945452,0.10126981,-0.048184708,-0.0056108683,0.0056108683,-1.1114253
4805,4805,0.24181814,0.33523813,0.093419984,0.0056057684,0.0056057684,1.1110609
35040,35040,0.06872725,0.13777776,0.06905051,0.0055520046,0.0055520046,1.1072011
14956,14956,0.21890908,0.15682535,-0.062083736,-0.0055345185,0.0055345185,-1.1059383
2188,2188,0.10181815,0.18095239,0.07913423,0.0055202274,0.0055202274,1.1049035
18395,18395,0.12981814,0.20412697,0.07430883,0.0055157244,0.0055157244,1.104577
23816,23816,0.05999998,0.13301583,0.07301585,0.005458074,0.005458074,1.1003742
24290,24290,0.11599996,0.06857141,-0.04742855,-0.0054244096,0.0054244096,-1.0979011
26111,26111,0.18327275,0.1307936,-0.052479148,-0.005407986,0.005407986,-1.0966895
2216,2216,0.12290907,0.06476189,-0.058147177,-0.0054044467,0.0054044467,-1.0964279
6681,6681,0.15745452,0.10380948,-0.053645037,-0.005392121,0.005392121,-1.0955158
1273,1273,0.08145452,0.16444443,0.08298991,0.0053832727,0.0053832727,1.0948598
6645,6645,0.1454545,0.09587298,-0.049581513,-0.005378045,0.005378045,-1.0944718
38294,38294,0.05781817,0.12888888,0.0710707,0.0053749233,0.0053749233,1.09424
22880,22880,0.10254543,0.038412683,-0.06413275,-0.005370587,0.005370587,-1.0939176
12103,12103,0.12145454,0.058730144,-0.0627244,-0.005350573,0.005350573,-1.092427
23857,23857,0.054909073,0.12571424,0.07080517,0.0053487513,0.0053487513,1.0922911
6320,6320,0.10254543,0.050158713,-0.05238672,-0.005333937,0.005333937,-1.0911841
18393,18393,0.05563635,0.12412696,0.06849061,0.0053288406,0.0053288406,1.0908027
13405,13405,0.11309087,0.1898413,0.07675043,0.005303772,0.005303772,1.0889213
36822,36822,0.121818125,0.19682537,0.075007245,0.00528228,0.00528228,1.0873019
17845,17845,0.14290905,0.093015835,-0.049893215,-0.005272654,0.005272654,-1.0865744
36145,36145,0.035999995,0.105079345,0.069079354,0.005266232,0.005266232,1.0860887
26711,26711,0.058545437,0.13047618,0.07193074,0.0052644587,0.0052644587,1.0859543
19515,19515,0.050181802,0.1253968,0.075215,0.0052554356,0.0052554356,1.0852704
24988,24988,0.24836361,0.20920637,-0.03915724,-0.0052362643,0.0052362643,-1.0838139
27541,27541,0.114181794,0.05079364,-0.063388154,-0.0052332324,0.0052332324,-1.0835831
30029,30029,0.043999992,0.1196825,0.075682506,0.0052172444,0.0052172444,1.0823641
8022,8022,0.33199996,0.28666666,-0.045333296,-0.0052169636,0.0052169636,-1.0823426
38466,38466,0.061818153,0.13873015,0.076912,0.005203609,0.005203609,1.0813217
20703,20703,0.15599996,0.23650798,0.08050802,0.005193527,0.005193527,1.0805494
15340,15340,0.09672725,0.1749207,0.07819344,0.005193333,0.005193333,1.0805345
24458,24458,0.09709088,0.16761903,0.07052816,0.0051931674,0.0051931674,1.0805218
1001,1001,0.43963632,0.41047618,-0.029160142,-0.0051631033,0.0051631033,-1.0782104
23382,23382,0.06036363,0.13111107,0.070747435,0.005162119,0.005162119,1.0781344
2718,2718,0.14036362,0.09333331,-0.047030307,-0.0051600626,0.0051600626,-1.0779759
15168,15168,0.039636355,0.10952379,0.06988743,0.005158258,0.005158258,1.0778366
28341,28341,0.0861818,0.15555555,0.06937375,0.00515579,0.00515579,1.0776461
35978,35978,0.05890907,0.12793648,0.06902741,0.0051458087,0.0051458087,1.076875
35840,35840,0.13381816,0.085396804,-0.04842136,-0.005109059,0.005109059,-1.074024
28110,28110,0.14545451,0.09523807,-0.050216444,-0.0050562927,0.0050562927,-1.0698973
34912,34912,0.04618181,0.11428568,0.068103865,0.005054845,0.005054845,1.0697834
23528,23528,0.080727264,0.15206347,0.07133621,0.005037104,0.005037104,1.0683868
27353,27353,0.06509089,0.13555552,0.07046463,0.0050315335,0.0050315335,1.0679473
28431,28431,0.124363616,0.070793636,-0.05356998,-0.005026365,0.005026365,-1.0675392
28365,28365,0.08218181,0.14888886,0.066707045,0.0050215195,0.0050215195,1.0671562
984,984,0.23090906,0.18603173,-0.044877335,-0.0050208718,0.0050208718,-1.0671049
15331,15331,0.043636356,0.11587299,0.07223663,0.0050133187,0.0050133187,1.0665072
29197,29197,0.046181805,0.12095233,0.074770525,0.004993499,0.004993499,1.0649347
30198,30198,0.13599998,0.07714283,-0.05885715,-0.0049932906,0.0049932906,-1.0649182
4767,4767,0.08363633,0.15904757,0.075411245,0.0049910205,0.0049910205,1.0647377
1675,1675,0.12872724,0.2022222,0.073494956,0.004986996,0.004986996,1.0644175
1462,1462,0.12472724,0.07460315,-0.050124094,-0.004980118,0.004980118,-1.0638698
11001,11001,0.029454539,0.0974603,0.06800576,0.0049712574,0.0049712574,1.0631633
12745,12745,0.08836361,0.16000001,0.0716364,0.004969614,0.004969614,1.0630322
17742,17742,0.12145451,0.066031724,-0.055422783,-0.00494239,0.00494239,-1.0608534
1359,1359,0.12618178,0.06666664,-0.05951514,-0.004925563,0.004925563,-1.0595012
33485,33485,0.096363604,0.04285713,-0.053506475,-0.004906445,0.004906445,-1.0579597
