clean_feature_index,original_neuron_index,logistic_weight,poor_mans_weight,abs_logistic_weight,abs_poor_mans_weight
0,0,0.0023557944,0.007457017,0.0023557944,0.007457017
1,1,0.0005944114,-0.0032495991,0.0005944114,0.0032495991
2,2,0.00021487604,0.0030965786,0.00021487604,0.0030965786
3,3,-0.0021386913,-0.010111032,0.0021386913,0.010111032
4,4,0.0034646895,0.014967266,0.0034646895,0.014967266
5,5,0.0026745556,0.008028589,0.0026745556,0.008028589
6,6,-0.001901847,-0.0072985124,0.001901847,0.0072985124
7,7,-0.0043519544,-0.021698758,0.0043519544,0.021698758
8,8,0.002342853,0.0059736697,0.002342853,0.0059736697
9,9,0.0021123583,0.007837329,0.0021123583,0.007837329
10,10,-0.0022912838,-0.007662691,0.0022912838,0.007662691
11,11,-0.0018218196,-0.011110029,0.0018218196,0.011110029
12,12,-0.001436512,-0.0039147492,0.001436512,0.0039147492
13,13,0.00053071824,0.0009876371,0.00053071824,0.0009876371
14,14,-0.004006252,-0.018493973,0.004006252,0.018493973
15,15,0.0010366525,0.00063824654,0.0010366525,0.00063824654
16,16,-0.001004099,-0.004927865,0.001004099,0.004927865
17,17,-0.001031678,-0.007624864,0.001031678,0.007624864
18,18,-0.00044586646,-0.0016800986,0.00044586646,0.0016800986
19,19,-0.0030706194,-0.008506472,0.0030706194,0.008506472
20,20,0.0017292497,0.009129157,0.0017292497,0.009129157
21,21,-0.00024099488,5.2098476e-05,0.00024099488,5.2098476e-05
22,22,0.0026093083,0.0065336004,0.0026093083,0.0065336004
23,23,0.0012720169,0.0014136217,0.0012720169,0.0014136217
24,24,0.001495328,0.0025158839,0.001495328,0.0025158839
25,25,-0.0034389854,-0.013489657,0.0034389854,0.013489657
26,26,-0.00020724197,0.0011165539,0.00020724197,0.0011165539
27,27,0.0011304547,-0.0007367132,0.0011304547,0.0007367132
28,28,-0.0022090585,-0.010264499,0.0022090585,0.010264499
29,29,-0.0033385258,-0.014598876,0.0033385258,0.014598876
30,30,-0.00010701412,0.0024936658,0.00010701412,0.0024936658
31,31,0.000121511766,-0.001736406,0.000121511766,0.001736406
32,32,0.0025765016,0.010723384,0.0025765016,0.010723384
33,33,-0.00083764095,-0.0051661795,0.00083764095,0.0051661795
34,34,0.0005897107,0.0007388606,0.0005897107,0.0007388606
