heldout_stimulus_index,heldout_true_label,k,added_pool_index,added_clean_feature_index,added_original_neuron_index,train_accuracy,train_balanced_accuracy,heldout_score,heldout_pred,heldout_correct,candidate_single_train_balanced_accuracy
0,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.0010606975993141532,1,1,0.7448680400848389
0,1,2,96,29128,29128,0.7948717948717948,0.8013196480938416,-7.587345317006111e-05,0,0,0.6580645442008972
0,1,3,873,6365,6365,0.8290598290598291,0.8366568914956012,-6.144905637484044e-05,0,0,0.620381236076355
0,1,4,941,29382,29382,0.8547008547008547,0.8618768328445747,-6.415709503926337e-05,0,0,0.6187683343887329
0,1,5,28,19815,19815,0.8632478632478633,0.869941348973607,-0.0002545174793340266,0,0,0.6741935610771179
0,1,6,13,38926,38926,0.8717948717948718,0.8780058651026392,-0.0008416657219640911,0,0,0.6802052855491638
0,1,7,614,28932,28932,0.8803418803418803,0.8860703812316715,-0.0008031650795601308,0,0,0.6266862154006958
0,1,8,229,14861,14861,0.8888888888888888,0.8941348973607037,-0.0009326782310381532,0,0,0.6450146436691284
0,1,9,242,9694,9694,0.8974358974358975,0.9021994134897361,-0.0013728615595027804,0,0,0.6439882516860962
1,1,1,0,35669,35669,0.7435897435897436,0.7529325513196481,-0.00010759738506749272,0,0,0.7529325485229492
1,1,2,91,29128,29128,0.7948717948717948,0.8013196480938416,-0.001244168495759368,0,0,0.6580645442008972
1,1,3,585,34404,34404,0.8376068376068376,0.8436950146627566,-0.0022344922181218863,0,0,0.6266862154006958
1,1,4,708,31071,31071,0.8461538461538461,0.8517595307917889,-0.0013764610048383474,0,0,0.6234604120254517
1,1,5,761,33267,33267,0.8547008547008547,0.8587976539589443,-0.0015284172259271145,0,0,0.6218475103378296
1,1,6,709,12607,12607,0.8717948717948718,0.8769794721407624,-0.002937949262559414,0,0,0.6234604120254517
1,1,7,36,25129,25129,0.8803418803418803,0.8850439882697947,-0.003174662357196212,0,0,0.671994149684906
2,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.0010606975993141532,1,1,0.7448680400848389
2,1,2,139,29128,29128,0.7863247863247863,0.7932551319648093,0.0018581028562039137,1,1,0.6499999761581421
2,1,3,629,8916,8916,0.8205128205128205,0.8275659824046921,0.008912787772715092,1,1,0.6247800588607788
2,1,4,312,26585,26585,0.8547008547008547,0.8608504398826979,0.008317189291119576,1,1,0.6379765272140503
2,1,5,57,25129,25129,0.8632478632478633,0.8689149560117302,0.008362728171050549,1,1,0.6639296412467957
2,1,6,817,6365,6365,0.8632478632478633,0.869941348973607,0.009236155077815056,1,1,0.620381236076355
2,1,7,716,16434,16434,0.8803418803418803,0.8860703812316715,0.009263141080737114,1,1,0.6225806474685669
2,1,8,275,36564,36564,0.8888888888888888,0.8941348973607037,0.008853709325194359,1,1,0.640762448310852
2,1,9,86,27013,27013,0.8974358974358975,0.9021994134897361,0.008682085201144218,1,1,0.6579179167747498
2,1,10,973,37053,37053,0.905982905982906,0.9102639296187683,0.008543779142200947,1,1,0.6167155504226685
2,1,11,837,9387,9387,0.9145299145299145,0.9183284457478006,0.009082897566258907,1,1,0.6196480989456177
2,1,12,551,21714,21714,0.9145299145299145,0.9193548387096775,0.009941413067281246,1,1,0.6275659799575806
2,1,13,107,27774,27774,0.9316239316239316,0.935483870967742,0.00989233236759901,1,1,0.654105544090271
3,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.002215985208749771,1,1,0.7448680400848389
3,1,2,141,29128,29128,0.7948717948717948,0.8002932551319648,0.0054099238477647305,1,1,0.6499999761581421
3,1,3,518,6365,6365,0.8205128205128205,0.8275659824046921,0.004975336138159037,1,1,0.6284457445144653
3,1,4,875,29382,29382,0.8547008547008547,0.8608504398826979,0.004608020186424255,1,1,0.6187683343887329
3,1,5,35,25129,25129,0.8632478632478633,0.869941348973607,0.004371307324618101,1,1,0.671994149684906
3,1,6,751,32854,32854,0.8717948717948718,0.8769794721407624,0.003718383377417922,1,1,0.6217008829116821
4,1,1,0,35669,35669,0.7435897435897436,0.7529325513196481,-0.001288900151848793,0,0,0.7529325485229492
4,1,2,96,29128,29128,0.7948717948717948,0.8013196480938416,-0.002425471320748329,0,0,0.6580645442008972
4,1,3,617,34404,34404,0.8376068376068376,0.8436950146627566,-0.003001510165631771,0,0,0.6266862154006958
4,1,4,469,34670,34670,0.8461538461538461,0.8527859237536657,-0.0019906344823539257,0,0,0.6318181753158569
4,1,5,950,29382,29382,0.8547008547008547,0.8608504398826979,-0.00273556518368423,0,0,0.6187683343887329
