stimulus_index,top1_imagenet_class,label_animate
0,294,1
1,294,1
2,294,1
3,35,1
4,146,1
5,291,1
6,291,1
7,291,1
8,101,1
9,101,1
10,340,1
11,292,1
12,292,1
13,286,1
14,272,1
15,293,1
16,288,1
17,288,1
18,22,1
19,21,1
20,472,0
21,144,1
22,288,1
23,372,1
24,94,1
25,360,1
26,41,1
27,340,1
28,85,1
29,271,1
30,912,0
31,649,0
32,353,1
33,250,1
34,101,1
35,21,1
36,348,1
37,979,0
38,958,0
39,285,1
40,301,1
41,323,1
42,301,1
43,821,0
44,353,1
45,351,1
46,347,1
47,287,1
48,41,1
49,24,1
50,271,1
51,133,1
52,97,1
53,366,1
54,104,1
55,21,1
56,146,1
57,99,1
58,24,1
59,703,0
60,448,0
61,703,0
62,703,0
63,975,0
64,309,1
65,985,0
66,985,0
67,716,0
68,975,0
69,883,0
70,67,1
71,985,0
72,733,0
73,989,0
74,972,0
75,936,0
76,335,1
77,462,0
78,45,1
79,718,0
80,703,0
81,716,0
82,733,0
83,469,0
84,630,0
85,799,0
86,421,0
87,489,0
88,703,0
89,985,0
90,512,0
91,956,0
92,672,0
93,301,1
94,525,0
95,716,0
96,703,0
97,703,0
98,703,0
99,703,0
100,764,0
101,500,0
102,146,1
103,703,0
104,640,0
105,506,0
106,421,0
107,134,1
108,795,0
109,23,1
110,313,1
111,738,0
112,323,1
113,767,0
114,767,0
115,883,0
116,515,0
117,489,0
