,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
PC1,0.9999999,-0.24815744,0.3132661,0.13086177,-0.13245682,0.20653592,-0.09365495,0.15651728,-0.248846,-0.04572487
PC2,-0.24815744,1.0000004,-0.010594361,0.019272352,0.11062798,-0.002989728,0.1639193,-0.034807637,0.084277265,0.06911595
PC3,0.3132661,-0.010594361,0.9999999,-0.06493288,-0.14321399,0.12345856,0.051770404,-0.12638815,-0.3754241,0.1514808
PC4,0.13086177,0.019272352,-0.06493288,0.99999976,0.049274772,-0.06899621,-0.0847131,-0.007742762,0.176246,-0.072611906
PC5,-0.13245682,0.11062798,-0.14321399,0.049274772,1.0000001,-0.1694964,-0.21945423,0.099665,0.16864039,-0.31708464
PC6,0.20653592,-0.002989728,0.12345856,-0.06899621,-0.1694964,0.9999998,0.12693541,-0.04305145,-0.2271289,0.09852874
PC7,-0.09365495,0.1639193,0.051770404,-0.0847131,-0.21945423,0.12693541,1.0000002,-0.19142719,-0.024303777,0.27074918
PC8,0.15651728,-0.034807637,-0.12638815,-0.007742762,0.099665,-0.04305145,-0.19142719,1.0000001,-0.050625976,-0.10416805
PC9,-0.248846,0.084277265,-0.3754241,0.176246,0.16864039,-0.2271289,-0.024303777,-0.050625976,1.0000004,-0.41235107
PC10,-0.04572487,0.06911595,0.1514808,-0.072611906,-0.31708464,0.09852874,0.27074918,-0.10416805,-0.41235107,0.99999976
