,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
PC1,6.058599,-1.4286973,1.5704557,0.6201118,-0.67679954,1.0662892,-0.456096,0.74921036,-1.3641869,-0.2349661
PC2,-1.4286973,5.470836,-0.050469313,0.08678267,0.53714484,-0.01466742,0.75857157,-0.15832762,0.43903035,0.33749855
PC3,1.5704557,-0.050469313,4.1481285,-0.2546021,-0.60549575,0.5274006,0.20861572,-0.5005965,-1.7029636,0.6440955
PC4,0.6201118,0.08678267,-0.2546021,3.706316,0.19692254,-0.27860552,-0.32267207,-0.028988265,0.7556969,-0.29184067
PC5,-0.67679954,0.53714484,-0.60549575,0.19692254,4.3092265,-0.737995,-0.9013284,0.4023442,0.77968407,-1.3741734
PC6,1.0662892,-0.01466742,0.5274006,-0.27860552,-0.737995,4.3993316,0.5267635,-0.1756049,-1.0610183,0.43144253
PC7,-0.456096,0.75857157,0.20861572,-0.32267207,-0.9013284,0.5267635,3.914525,-0.73654366,-0.10709527,1.118339
PC8,0.74921036,-0.15832762,-0.5005965,-0.028988265,0.4023442,-0.1756049,-0.73654366,3.7819073,-0.21927348,-0.42291853
PC9,-1.3641869,0.43903035,-1.7029636,0.7556969,0.77968407,-1.0610183,-0.10709527,-0.21927348,4.9603753,-1.917304
PC10,-0.2349661,0.33749855,0.6440955,-0.29184067,-1.3741734,0.43144253,1.118339,-0.42291853,-1.917304,4.3584657
