pc,explained_variance_ratio,pc_score_median,n_low,n_high,contrast_norm,mean_low_norm,mean_high_norm
1,0.20716975629329681,-0.16298073530197144,59,59,2.461422920227051,11.41242790222168,12.209868431091309
2,0.16322919726371765,-0.6803392171859741,59,59,2.338982582092285,12.187402725219727,11.423563957214355
3,0.057096391916275024,0.5534319877624512,59,59,2.0366954803466797,11.741252899169922,11.853785514831543
4,0.05397893860936165,-0.7693946361541748,59,59,1.9251794815063477,11.607318878173828,11.975746154785156
5,0.043098967522382736,-0.5295158624649048,59,59,2.0758678913116455,11.808145523071289,11.790567398071289
6,0.03137800469994545,-0.998866617679596,59,59,2.097458600997925,11.764357566833496,11.836162567138672
7,0.02791840024292469,-0.2585456073284149,59,59,1.9785157442092896,11.925756454467773,11.663137435913086
8,0.02680818736553192,-0.6734855771064758,59,59,1.9447126388549805,11.766986846923828,11.820497512817383
9,0.02065970003604889,-0.7010583877563477,59,59,2.2271909713745117,11.680362701416016,11.93082046508789
10,0.018223147839307785,0.13516631722450256,59,59,2.087693929672241,12.003788948059082,11.592388153076172
