stimulus_index,vit_pc1_score,vit_pc1_high_label,vit_pc2_score,vit_pc2_high_label,vit_pc3_score,vit_pc3_high_label,vit_pc4_score,vit_pc4_high_label,vit_pc5_score,vit_pc5_high_label,vit_pc6_score,vit_pc6_high_label,vit_pc7_score,vit_pc7_high_label,vit_pc8_score,vit_pc8_high_label,vit_pc9_score,vit_pc9_high_label,vit_pc10_score,vit_pc10_high_label
0,28.764545,1,3.494419,1,1.7955605,1,-1.4198375,0,-6.191064,0,-5.262349,0,-8.233351,0,6.801714,1,11.701202,1,13.840679,1
1,20.171707,1,-0.123461686,1,7.2223716,1,5.018776,1,-5.438623,0,4.3046074,1,-5.2007008,0,9.271864,1,13.047172,1,9.515056,1
2,25.120535,1,-5.5787454,0,0.34083322,0,-0.855935,0,-6.6399684,0,-3.0914397,0,-9.471131,0,10.551317,1,14.045226,1,15.854331,1
3,8.007969,1,-13.675494,0,2.2041376,1,-4.521078,0,-6.0071626,0,-4.5432177,0,-5.1598682,0,6.267415,1,-1.5905744,0,-7.2595725,0
4,-2.0904236,0,-11.173033,0,11.19472,1,1.7491293,1,4.220733,1,-5.338938,0,0.98600274,1,7.2213435,1,-4.3498573,0,0.52210945,1
5,28.436125,1,12.956799,1,6.2472167,1,7.470117,1,-3.3514454,0,3.1124833,1,10.113744,1,1.4354432,1,-4.9361444,0,2.809059,1
6,21.826502,1,7.8750014,1,2.1327136,1,10.290812,1,-1.6290482,0,8.315434,1,1.1966376,1,-4.4260406,0,-2.6972194,0,3.43086,1
7,26.941872,1,8.354669,1,3.5112762,1,12.34435,1,-2.532913,0,2.8412619,1,5.438085,1,-2.9194267,0,-4.585139,0,4.365274,1
8,9.690488,1,5.57014,1,3.732991,1,8.7073145,1,-5.5547843,0,5.9199657,1,13.181412,1,18.213795,1,-0.3734195,1,-8.534196,0
9,15.954974,1,6.7724085,1,6.561299,1,8.55329,1,-4.9549794,0,5.6644955,1,13.571857,1,16.590004,1,-0.2939924,1,-6.8360834,0
10,19.702526,1,2.8874547,1,5.3834047,1,11.228563,1,-0.44839886,1,6.569274,1,6.013967,1,-3.435656,0,-9.917579,0,2.5533214,1
11,15.209268,1,-0.53263164,1,3.5290477,1,13.932793,1,-0.066452965,1,4.0131974,1,0.7887967,1,-4.5492864,0,-6.5929217,0,2.8365428,1
12,19.103783,1,4.2515798,1,0.9344532,1,9.731327,1,0.58115745,1,-2.5702944,0,1.478258,1,-1.8586928,0,-8.968313,0,7.7264714,1
13,19.482985,1,-4.417266,0,-2.724401,0,9.844563,1,-1.7325237,0,7.506282,1,-13.657066,0,-4.9917555,0,13.239123,1,-1.3590926,0
14,32.254814,1,5.468943,1,-15.687772,0,6.631616,1,9.842485,1,-15.952961,0,-6.012965,0,-5.461151,0,-1.8977865,0,-10.333422,0
15,27.051905,1,-2.6752732,0,5.3171167,1,11.283336,1,-2.79324,0,9.9632635,1,-0.5914037,0,-7.7348475,0,-6.802509,0,2.4726048,1
16,25.561049,1,-5.0780654,0,1.6871681,1,1.3483074,1,-0.25002939,1,16.628567,1,-6.9349575,0,-10.614367,0,8.56902,1,-4.7738667,0
17,23.64761,1,-1.528637,0,3.9857686,1,13.903263,1,-2.3497021,0,12.731913,1,-0.09904334,1,-9.419914,0,-5.921551,0,0.24668163,1
18,4.499696,1,-8.218388,0,14.8226,1,-5.641731,0,12.850556,1,-2.1673913,0,0.2410463,1,3.3885014,1,-2.8412488,0,2.3048613,1
19,2.632257,1,-7.6149726,0,16.088614,1,-7.1056323,0,18.357233,1,0.2926114,1,-2.931971,0,0.72467923,1,-3.4142976,0,3.3780453,1
20,-15.649836,0,28.676487,1,9.139473,1,-12.984367,0,-7.0479164,0,-3.6369534,0,-3.8170154,0,2.1470637,1,-0.039812554,1,-3.0865228,0
21,7.510673,1,-19.319057,0,12.870582,1,-16.874172,0,2.841418,1,0.18673366,1,-5.430745,0,5.908428,1,-2.618004,0,-1.8877422,0
22,22.156551,1,-5.2226753,0,6.0300593,1,11.951886,1,-2.8427675,0,13.096841,1,-4.0459027,0,-13.512545,0,-4.927264,0,4.057329,1
23,20.608597,1,-9.05526,0,0.031135904,0,-2.559524,0,-0.41797447,1,9.869696,1,-2.3423362,0,2.2321758,1,15.307911,1,-2.5697434,0
24,1.9530125,1,-14.379903,0,6.0639453,1,-4.352607,0,6.9725137,1,-0.17334339,1,4.219301,1,-5.945896,0,-0.74209416,0,-5.556095,0
25,10.109479,1,-14.035412,0,-1.3000835,0,0.85707706,1,-3.8101826,0,-6.9766645,0,-10.408464,0,8.076224,1,9.17099,1,9.05735,1
26,2.4553223,1,-24.28689,0,0.6141455,1,-4.020092,0,-15.364937,0,-2.234822,0,-9.342317,0,3.9241862,1,-6.1220636,0,-13.442568,0
27,20.447638,1,1.9605743,1,3.2438042,1,8.933391,1,0.70069337,1,5.9173756,1,5.0345464,1,-2.4032774,0,-7.10651,0,1.7494756,1
28,7.828835,1,-6.559434,0,5.5309625,1,-6.2831793,0,9.052999,1,-4.3167515,0,-1.0775466,0,-2.3779619,0,-2.8049684,0,-2.9401903,0
29,34.909374,1,1.8524344,1,-11.424053,0,9.1286955,1,6.404945,1,-14.532658,0,-5.6594963,0,-6.2954664,0,0.4604053,1,-9.788994,0
30,-13.970671,0,12.349122,1,3.613675,1,-1.740256,0,-3.278126,0,-2.404911,0,3.0423913,1,-3.7884767,0,-1.8571395,0,4.0595646,1
31,-13.643678,0,11.700352,1,4.1846275,1,-0.5219401,1,-8.462203,0,7.6322513,1,-2.999698,0,-4.7657075,0,-2.9179547,0,2.366843,1
32,22.48796,1,4.5332465,1,-5.5523376,0,8.280121,1,3.0553198,1,-3.9388022,0,4.1917214,1,3.1591775,1,-7.065683,0,-8.952787,0
33,22.288914,1,6.4506893,1,-17.874714,0,7.5119514,1,7.069019,1,-21.234106,0,-4.2024183,0,-1.0223234,0,2.9952908,1,-5.6079865,0
34,11.309531,1,3.9635367,1,5.3495584,1,7.7488103,1,-6.4774613,0,5.411676,1,12.633887,1,16.252995,1,-0.0066096513,1,-7.9458156,0
35,9.636032,1,-14.458507,0,9.1005745,1,-15.885689,0,16.036768,1,-2.6833234,0,1.5573943,1,-0.7448749,0,-2.124758,0,-2.5137136,0
36,1.4012599,1,23.842741,1,1.1388003,1,-5.2599096,0,-7.3897166,0,-7.3485017,0,7.7926197,1,-4.0703964,0,-3.1639025,0,4.1860166,1
37,-5.94095,0,28.556932,1,14.145444,1,-6.5746365,0,-16.850233,0,-0.9214524,1,4.6934514,1,-3.2991312,0,1.3319308,1,0.9683188,1
38,20.195911,1,16.8221,1,-5.6033096,0,-2.5167372,0,-4.136252,0,-11.082273,0,3.8716662,1,6.7579374,1,5.348839,1,10.297891,1
39,16.173494,1,-7.8130827,0,1.8896314,1,9.193183,1,-5.2823267,0,5.6509852,1,-6.771294,0,-9.276547,0,-5.1590767,0,-0.24182266,0
40,-9.307114,0,-24.363077,0,-8.128364,0,-1.0025026,0,-7.1982574,0,-3.4728248,0,15.801016,1,-8.730795,0,4.3881197,1,3.8254483,1
41,-0.53892964,0,-18.713543,0,2.6652243,1,1.4905034,1,-5.290537,0,-8.614233,0,13.887317,1,-7.47588,0,2.966345,1,2.1685693,1
